date,Sales,Price Discount (%),In-Store Promo,Catalogue Promo,Store End Promo,Product_SKU1,Product_SKU2,Product_SKU3,Product_SKU4,Product_SKU5,Product_SKU6
2018-09-30,3053,0.03,0,1,0,0,1,0,0,0,0
2018-10-07,32900,0.5,1,0,0,0,1,0,0,0,0
2018-10-14,7386,0.25,0,0,0,0,1,0,0,0,0
2018-10-21,2990,0.0,0,0,0,0,1,0,0,0,0
2018-10-28,3269,0.0,0,0,0,0,1,0,0,0,0
2018-11-04,3304,0.0,0,0,0,0,1,0,0,0,0
2018-11-11,2825,0.0,1,0,0,0,1,0,0,0,0
2018-11-18,7680,0.25,0,0,0,0,1,0,0,0,0
2018-11-25,2747,0.03,0,0,0,0,1,0,0,0,0
2018-12-02,2781,0.0,1,0,0,0,1,0,0,0,0
2018-12-09,7022,0.25,0,0,0,0,1,0,0,0,0
2018-12-16,2609,0.0,0,0,0,0,1,0,0,0,0
2018-12-23,1976,0.03,0,0,0,0,1,0,0,0,0
2018-12-30,2027,0.0,0,0,0,0,1,0,0,0,0
2019-01-06,2642,0.0,0,0,0,0,1,0,0,0,0
2019-01-13,2808,0.0,0,1,0,0,1,0,0,0,0
2019-01-20,8978,0.25,1,0,0,0,1,0,0,0,0
2019-01-27,6950,0.25,0,0,0,0,1,0,0,0,0
2019-02-03,3019,0.0,0,0,0,0,1,0,0,0,0
2019-02-10,2837,0.0,0,0,0,0,1,0,0,0,0
2019-02-17,3055,0.0,0,1,0,0,1,0,0,0,0
2019-02-24,23327,0.5,1,0,0,0,1,0,0,0,0
2019-03-03,7084,0.25,1,0,0,0,1,0,0,0,0
2019-03-10,6714,0.25,0,0,0,0,1,0,0,0,0
2019-03-17,2744,0.0,0,0,0,0,1,0,0,0,0
2019-03-24,2900,0.0,0,1,0,0,1,0,0,0,0
2019-03-31,7817,0.25,0,0,0,0,1,0,0,0,0
2019-04-07,2749,0.03,1,0,0,0,1,0,0,0,0
2019-04-14,10895,0.25,0,0,0,0,1,0,0,0,0
2019-04-21,2178,0.0,1,0,0,0,1,0,0,0,0
2019-04-28,6349,0.25,0,0,0,0,1,0,0,0,0
2019-05-05,2628,0.0,0,1,0,0,1,0,0,0,0
2019-05-12,36674,0.5,1,0,0,0,1,0,0,0,0
